
####################################
1: 0.6547939777374268s : x = 183.59264939611478 , y = 428.56505548500934
2: 1.115170955657959s : x = 182.43786240581844 , y = 429.24201133792593
3: 1.5724155902862549s : x = 183.59264939611478 , y = 428.56505548500934
4: 2.03702712059021s : x = 182.9846186166973 , y = 428.47002251174183
5: 2.4878785610198975s : x = 182.2322775136123 , y = 428.74629674531417
6: 2.9323177337646484s : x = 183.14090267068232 , y = 428.61826599780534
7: 3.398979902267456s : x = 183.04251561430672 , y = 429.3367358656194
8: 3.8510515689849854s : x = 183.48774038322614 , y = 429.2894123054692
9: 4.313295602798462s : x = 182.72769914947887 , y = 429.0396285402056
10: 4.766556262969971s : x = 182.72769914947887 , y = 429.0396285402056
11: 5.228864908218384s : x = 182.88497774433338 , y = 429.18831956754366
12: 5.684963941574097s : x = 183.04251561430672 , y = 429.3367358656194
13: 6.133575677871704s : x = 183.20031227951122 , y = 429.4848769823311
14: 6.584295749664307s : x = 182.5954946665571 , y = 429.3912079173076
15: 7.087554693222046s : x = 183.04251561430672 , y = 429.3367358656194
16: 7.7046003341674805s : x = 183.04251561430672 , y = 429.3367358656194
17: 12.838696718215942s : x = 182.5954946665571 , y = 429.3912079173076
18: 13.335669040679932s : x = 183.04251561430672 , y = 429.3367358656194
19: 13.827003479003906s : x = 182.7533870842302 , y = 429.5401291493938
20: 14.322503328323364s : x = 183.29744522019448 , y = 428.76623649108865
21: 14.823126792907715s : x = 183.51668007212282 , y = 429.7803318674478
22: 15.299043416976929s : x = 186.6693602389602 , y = 430.02651831230264
23: 15.768983602523804s : x = 189.80190123343797 , y = 432.3678603658401
24: 16.266069412231445s : x = 192.172684665306 , y = 434.46055860476037
25: 16.741334199905396s : x = 193.45349601416495 , y = 436.0325653762173
26: 17.208435535430908s : x = 193.62296324372164 , y = 436.16252571519135
27: 17.67416286468506s : x = 193.62296324372164 , y = 436.16252571519135
28: 18.152050733566284s : x = 193.45349601416495 , y = 436.0325653762173
29: 19.9532151222229s : x = 194.2033912054429 , y = 436.29625136881225
30: 20.455113649368286s : x = 194.04195281692722 , y = 437.09539875481613
31: 20.937363862991333s : x = 193.87085677943526 , y = 436.9661682693827
32: 21.399643659591675s : x = 193.125590087365 , y = 436.6950497222592
33: 21.865634441375732s : x = 193.86421350210105 , y = 436.03806036982576
34: 22.33055543899536s : x = 194.03368969666758 , y = 436.1673038635484
35: 22.809388637542725s : x = 194.03368969666758 , y = 436.1673038635484
36: 23.293893814086914s : x = 193.86421350210105 , y = 436.03806036982576
37: 23.771262168884277s : x = 193.28425586618764 , y = 435.90230945922127
38: 24.237253427505493s : x = 193.45349601416495 , y = 436.0325653762173
39: 26.528101444244385s : x = 193.28425586618764 , y = 435.90230945922127
